id,type,magasin,adresse,ville,region,equipement,equipement_id,netsuite_id,planifie,heure,tech_id,opened_at
NS-10001,reactif,Couche-Tard Drummondville — DÉLAI DÉPASSÉ,"1106 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,BW3 Désinstallé,38,NS-10001,0,,,2026-08-07
NS-10002,reactif,CLSC Bécancour,"1353 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Distributrice,25,NS-10002,0,,,2026-08-12
NS-10003,reactif,Subway Victoriaville,"420 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,Machine à Glace,15,NS-10003,0,,,2026-08-13
NS-10004,reactif,A&W Drummondville,"647 rue Brock, Drummondville, QC",Drummondville,Centre-du-Québec,Distributeur à sucre,20,NS-10004,0,,,2026-08-12
NS-10005,reactif,Dépanneur 7 jours Trois-Rivières,"743 boulevard des Chenaux, Trois-Rivières, QC",Trois-Rivières,Mauricie,Lassonde,39,NS-10005,0,,,2026-08-13
NS-10006,reactif,Tim Hortons Nicolet,"1465 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Table chaude,40,NS-10006,0,,,2026-08-13
NS-10007,reactif,Starbucks Trois-Rivières,"487 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Lassonde,39,NS-10007,0,,,2026-08-13
NS-10008,reactif,Harvey's — Rue Du Portage,"1441 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Réfrigérateur,28,NS-10008,0,,,2026-08-12
NS-10009,reactif,Métro Trois-Rivières,"221 rue Royale, Trois-Rivières, QC",Trois-Rivières,Mauricie,Café filtre,5,NS-10009,0,,,2026-08-12
NS-10010,reactif,Subway Magog,"1826 rue Principale Ouest, Magog, QC",Magog,Estrie,Moulin,17,NS-10010,0,,,2026-08-12
NS-10011,reactif,A&W Drummondville,"565 rue de l'Éclipse, Drummondville, QC",Drummondville,Centre-du-Québec,BW3 Désinstallé,38,NS-10011,0,,,2026-08-12
NS-10012,reactif,Starbucks — Rue Notre-Dame Est,"1393 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Krystaline,29,NS-10012,0,,,2026-08-12
NS-10013,reactif,Dépanneur 7 jours — 9E Rue Sud,"1313 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,PopCorn,12,NS-10013,0,,,2026-08-13
NS-10014,reactif,La Belle Province — Boulevard Des Bois-Francs,"1666 boulevard des Bois-Francs, Victoriaville, QC",Victoriaville,Centre-du-Québec,Distributeur lait/crème,8,NS-10014,0,,,2026-08-13
NS-10015,reactif,Tim Hortons Sorel-Tracy,"1381 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Filtration d'eau,6,NS-10015,0,,,2026-08-12
NS-10016,reactif,Couche-Tard Trois-Rivières,"150 boulevard des Récollets, Trois-Rivières, QC",Trois-Rivières,Mauricie,Machine à Glace,15,NS-10016,0,,,2026-08-13
NS-10017,reactif,CLSC Bécancour,"108 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,Polar-pop,33,NS-10017,0,,,2026-08-12
NS-10018,reactif,Couche-Tard Victoriaville,"365 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,ADMIN,37,NS-10018,0,,,2026-08-12
NS-10019,reactif,Hôtel Le Dauphin Thetford Mines,"903 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Distributeur à eau chaude,22,NS-10019,0,,,2026-08-13
NS-10020,reactif,Benny&Co — Rue Sherbrooke,"774 rue Sherbrooke, Magog, QC",Magog,Estrie,Thermos,19,NS-10020,0,,,2026-08-12
NS-10021,reactif,McDonald's Sorel-Tracy,"1220 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Espresso,2,NS-10021,0,,,2026-08-13
NS-10022,reactif,CLSC Bécancour,"1379 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,CT CUR-GEM3IF,32,NS-10022,0,,,2026-08-12
NS-10023,reactif,Starbucks Victoriaville,"1539 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,Thé,21,NS-10023,0,,,2026-08-13
NS-10024,reactif,McDonald's — 9E Rue Sud,"1592 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Réfrigérateur,28,NS-10024,0,,,2026-08-13
NS-10025,reactif,Restaurant du Parc — 12E Avenue Nord,"744 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Lave-vaisselle,26,NS-10025,0,,,2026-08-12
NS-10026,preventif,La Belle Province — Rue Augusta,"880 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Lave-vaisselle,26,NS-10026,1,08:00,21,2026-07-15
NS-10027,preventif,Hôtel Le Dauphin Magog,"1498 rue Principale Ouest, Magog, QC",Magog,Estrie,Réchaud,3,NS-10027,1,13:00,5,2026-07-01
NS-10028,preventif,Subway Trois-Rivières,"1470 rue Hart, Trois-Rivières, QC",Trois-Rivières,Mauricie,Boissons en fontaine,27,NS-10028,1,11:00,5,2026-08-01
NS-10029,preventif,Starbucks Victoriaville,"1798 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,Distributrice,25,NS-10029,1,09:00,5,2026-08-10
NS-10030,preventif,Starbucks Magog,"791 rue Sherbrooke, Magog, QC",Magog,Estrie,Accessoire TP,30,NS-10030,1,10:00,18,2026-08-10
NS-10031,preventif,Tim Hortons — Rue De L'Aqueduc,"795 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,PIÈCES RP,35,NS-10031,1,09:30,12,2026-08-10
NS-10032,preventif,Brûlerie locale Sorel-Tracy,"1528 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Distributrice,25,NS-10032,1,09:30,18,2026-08-10
NS-10033,preventif,Dollarama Nicolet,"305 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,Krystaline,29,NS-10033,1,09:30,12,2026-08-10
NS-10034,preventif,Tim Hortons Thetford Mines,"1193 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Distributeur lait/crème,8,NS-10034,0,,,2026-07-01
NS-10035,preventif,Tim Hortons Magog,"968 rue Sherbrooke, Magog, QC",Magog,Estrie,PIÈCES RP,35,NS-10035,0,,,2026-08-01
NS-10036,preventif,Benny&Co — Boulevard Louis-Fréchette,"1875 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Refroidisseur,31,NS-10036,0,,,2026-08-10
NS-10037,preventif,Restaurant du Parc Sherbrooke,"1685 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Distributeur à eau chaude,22,NS-10037,0,,,2026-07-01
NS-10038,preventif,Benny&Co Victoriaville,"264 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,PopCorn,12,NS-10038,0,,,2026-07-01
NS-10039,preventif,Couche-Tard — Avenue Des Érables,"1526 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,PopCorn,12,NS-10039,0,,,2026-08-10
NS-10040,preventif,Brûlerie locale — Rue Notre-Dame,"1808 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,Four Micro-onde,13,NS-10040,0,,,2026-08-01
NS-10041,preventif,Starbucks Sherbrooke,"210 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Boissons en fontaine,27,NS-10041,0,,,2026-07-15
NS-10042,preventif,Benny&Co Victoriaville,"1019 boulevard des Bois-Francs, Victoriaville, QC",Victoriaville,Centre-du-Québec,Table chaude,40,NS-10042,0,,,2026-07-01
NS-10043,preventif,IGA Extra Magog,"1861 rue Sherbrooke, Magog, QC",Magog,Estrie,Hotte,10,NS-10043,0,,,2026-07-01
NS-10044,preventif,Dépanneur 7 jours — Avenue De La Station,"1054 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Lave-vaisselle,26,NS-10044,0,,,2026-08-10
NS-10045,preventif,Harvey's — Rue Des Forges,"1048 rue des Forges, Drummondville, QC",Drummondville,Centre-du-Québec,Krystaline,29,NS-10045,0,,,2026-08-01
NS-10046,preventif,McDonald's Victoriaville,"1500 boulevard Jutras, Victoriaville, QC",Victoriaville,Centre-du-Québec,ADMIN,37,NS-10046,0,,,2026-07-01
NS-10047,preventif,Harvey's Drummondville,"1891 rue Cockburn, Drummondville, QC",Drummondville,Centre-du-Québec,Boissons en fontaine,27,NS-10047,0,,,2026-08-01
NS-10048,preventif,Tim Hortons — Boulevard Bécancour,"1484 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Table chaude,40,NS-10048,0,,,2026-07-15
NS-10049,preventif,McDonald's Shawinigan,"612 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Four Micro-onde,13,NS-10049,0,,,2026-07-01
NS-10050,preventif,Hôtel Le Dauphin — Rue King Ouest,"1308 rue King Ouest, Sherbrooke, QC",Sherbrooke,Estrie,Distributrice,25,NS-10050,0,,,2026-08-10
NS-10051,preventif,Couche-Tard Thetford Mines,"1086 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Distributeur à eau chaude,22,NS-10051,0,,,2026-07-01
NS-10052,preventif,Starbucks Sherbrooke,"1720 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Accessoire TP,30,NS-10052,0,,,2026-07-15
NS-10053,preventif,McDonald's Drummondville,"587 rue Brock, Drummondville, QC",Drummondville,Centre-du-Québec,Distributeur lait/crème,8,NS-10053,0,,,2026-07-15
NS-10054,preventif,Couche-Tard Victoriaville,"798 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,Four Combi,9,NS-10054,0,,,2026-07-15
NS-10055,preventif,Hôtel Le Dauphin Sherbrooke,"1874 boulevard de Portland, Sherbrooke, QC",Sherbrooke,Estrie,Moulin,17,NS-10055,0,,,2026-07-15
NS-10056,preventif,Dollarama Magog,"1422 rue Sherbrooke, Magog, QC",Magog,Estrie,Filtration d'eau,6,NS-10056,0,,,2026-07-01
NS-10057,preventif,CLSC Drummondville,"1641 rue Brock, Drummondville, QC",Drummondville,Centre-du-Québec,ADMIN,37,NS-10057,0,,,2026-07-15
NS-10058,preventif,McDonald's — Rue Lindsay,"64 rue Lindsay, Drummondville, QC",Drummondville,Centre-du-Québec,PIÈCES RP,35,NS-10058,0,,,2026-08-10
NS-10059,preventif,Brûlerie locale — Boulevard De Portland,"1438 boulevard de Portland, Sherbrooke, QC",Sherbrooke,Estrie,Panini,23,NS-10059,0,,,2026-08-01
NS-10060,preventif,IGA Extra Sorel-Tracy,"1481 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Roller Grill,4,NS-10060,0,,,2026-08-01
NS-10061,preventif,IGA Extra Nicolet,"1820 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,Polar-pop,33,NS-10061,0,,,2026-08-10
NS-10062,preventif,Tim Hortons Magog,"1263 rue Principale Ouest, Magog, QC",Magog,Estrie,Boissons en fontaine,27,NS-10062,0,,,2026-08-01
NS-10063,preventif,École secondaire — Boulevard Foucault,"57 boulevard Foucault, Drummondville, QC",Drummondville,Centre-du-Québec,Frigo à Condiments,18,NS-10063,0,,,2026-07-01
NS-10064,preventif,La Belle Province Sherbrooke,"1349 rue King Ouest, Sherbrooke, QC",Sherbrooke,Estrie,Espresso,2,NS-10064,0,,,2026-07-01
NS-10065,preventif,Dépanneur 7 jours Drummondville,"419 rue Cockburn, Drummondville, QC",Drummondville,Centre-du-Québec,K-Cup,24,NS-10065,0,,,2026-07-15
NS-10066,preventif,Starbucks Thetford Mines,"1610 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Filtration d'eau,6,NS-10066,0,,,2026-07-15
NS-10067,preventif,Starbucks Thetford Mines,"694 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Grille-Pain,11,NS-10067,0,,,2026-08-10
NS-10068,preventif,A&W Drummondville,"1762 rue des Forges, Drummondville, QC",Drummondville,Centre-du-Québec,Boissons en fontaine,27,NS-10068,0,,,2026-07-15
NS-10069,preventif,Cafeteria industrielle Thetford Mines,"725 boulevard Frontenac, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Four Micro-onde,13,NS-10069,0,,,2026-07-15
NS-10070,preventif,Hôtel Le Dauphin Thetford Mines,"159 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Site,1,NS-10070,0,,,2026-08-01
NS-10071,preventif,A&W — Rue Des Forges,"1455 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Grille-Pain,11,NS-10071,0,,,2026-07-15
NS-10072,preventif,Cafeteria industrielle Nicolet,"783 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,Frigo à Condiments,18,NS-10072,0,,,2026-07-15
NS-10073,preventif,Restaurant du Parc Sherbrooke,"1377 rue King Est, Sherbrooke, QC",Sherbrooke,Estrie,Grille-Pain,11,NS-10073,0,,,2026-08-10
NS-10074,preventif,Tim Hortons Shawinigan,"1834 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Boissons en fontaine,27,NS-10074,0,,,2026-08-01
NS-10075,preventif,Brûlerie locale — Boulevard Jutras,"1009 boulevard Jutras, Victoriaville, QC",Victoriaville,Centre-du-Québec,Distributeur à eau chaude,22,NS-10075,0,,,2026-08-01
NS-10076,preventif,CLSC — Avenue Des Érables,"1735 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,Thé,21,NS-10076,0,,,2026-08-10
NS-10077,preventif,Benny&Co — Boulevard Louis-Fréchette,"1104 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Machine à Glace,15,NS-10077,0,,,2026-07-01
